Years,Arch,Draw,Film,Fluxus,Medp,Sculpt,Photo,Total
1932,2,14,0,0,0,1,1,18
1934,51,200,0,0,0,20,3,274
1935,74,549,0,0,0,39,27,689
1936,164,582,1,0,0,62,27,836
1937,362,616,1,0,0,96,84,1159
1938,380,625,3,0,0,108,168,1284
1939,519,785,7,0,0,155,219,1685
1940,592,2090,10,0,0,172,344,3208
1941,602,2360,10,0,0,217,995,4184
1942,683,2919,10,0,0,292,1213,5117
1943,1530,3036,10,0,0,326,1341,6243
1944,1596,3183,10,0,0,345,1454,6588
1945,1703,3348,10,0,0,363,1454,6878
1946,1737,3445,10,0,0,371,1486,7049
1947,1814,3762,10,0,0,388,1522,7496
1948,1948,4027,10,0,0,409,1523,7917
1949,1977,5544,10,0,0,445,1523,9499
1950,2076,5776,10,0,0,475,1615,9952
1951,2230,6217,10,0,0,511,1615,10583
1952,2295,6652,10,0,0,543,1631,11131
1953,2430,6896,11,0,0,585,1682,11604
1954,2545,7577,11,0,0,621,1725,12479
1955,2594,7913,11,0,0,674,1729,12921
1956,2808,8700,11,0,0,737,1794,14050
1957,2915,8842,11,0,0,764,1820,14352
1958,3103,9307,11,0,0,814,1820,15055
1959,3119,9615,11,0,0,873,2268,15886
1960,3233,9795,11,0,0,928,2372,16339
1961,3293,10052,11,0,0,1006,2532,16894
1962,3327,10395,11,0,0,1041,2687,17461
1963,3496,11000,11,0,0,1093,2814,18414
1964,3587,23101,11,0,0,1153,3389,31241
1965,3693,24594,11,0,0,1223,3741,33262
1966,3838,26075,11,0,0,1275,3910,35109
1967,4038,27830,11,0,0,1374,4247,37500
1968,4243,28999,11,0,0,1415,9727,44395
1969,4316,30746,12,0,0,1487,10031,46592
1970,4486,31475,12,0,0,1555,10298,47826
1971,4489,31961,13,0,0,1602,10803,48868
1972,4560,32459,14,0,0,1613,11085,49731
1973,4595,33219,14,0,0,1642,11346,50816
1974,5407,35172,15,0,0,1666,11926,54186
1975,5427,35768,15,0,26,1706,12224,55166
1976,5528,36169,15,0,34,1739,12583,56068
1977,5703,36882,16,0,34,1763,12880,57278
1978,5763,37895,16,0,34,1800,13118,58626
1979,5831,38595,17,0,66,1896,13381,59786
1980,5967,38898,17,0,81,1921,13575,60459
1981,6135,39328,18,0,104,1947,14275,61807
1982,6231,39735,18,0,124,1974,14576,62658
1983,6458,40225,19,0,138,2022,14990,63852
1984,6561,40613,19,0,200,2051,15278,64722
1985,6673,41250,19,0,214,2163,15448,65767
1986,6744,41802,20,0,276,2193,15757,66792
1987,6893,42585,20,0,293,2217,16052,68060
1988,6968,43301,21,0,329,2233,16228,69080
1989,6996,43743,28,0,339,2247,16619,69972
1990,7154,44539,29,0,357,2290,16872,71241
1991,7183,45039,29,0,369,2377,17065,72062
1992,7248,45783,29,0,387,2422,17388,73257
1993,7357,46622,29,0,424,2438,17646,74516
1994,7477,46967,29,0,493,2513,17981,75460
1995,7609,47198,29,0,499,2539,18554,76428
1996,7814,47692,29,0,499,2616,18750,77400
1997,7912,48253,30,0,570,2656,18930,78351
1998,8044,48735,32,0,611,2703,19506,79631
1999,8812,49419,38,0,764,2738,19670,81441
2000,9245,49813,38,0,870,2781,20574,83321
2001,9510,52672,38,0,880,2809,21582,87491
2002,9549,53115,99,0,887,2843,21692,88185
2003,9673,53358,102,0,926,2857,21818,88734
2004,9780,53792,104,0,962,2904,21955,89497
2005,9884,57097,202,0,1030,3055,22295,93563
2006,10184,58072,203,0,1051,3088,22631,95229
2007,10411,59278,222,0,1479,3129,23052,97571
2008,10631,63800,240,1867,1736,3175,23319,104768
2009,10824,64663,246,1867,1791,3207,23706,106304
2010,10969,65764,265,1867,1794,3342,24367,108368
2011,11282,66721,308,1867,1972,3432,24742,110324
2012,12020,68324,457,1867,2112,3478,25094,113352
2013,12185,69729,554,1867,2190,3546,26421,116492
2014,13025,70746,589,1867,2255,3588,27231,119301
2015,14415,71884,611,1867,2495,3642,28215,123129
2016,14918,72365,687,1867,2558,3761,28818,124974
2017,15019,72722,764,1867,2651,3809,29768,126600
2018,15876,73548,874,1867,2754,3851,30190,128960
2019,16059,74143,874,1867,2892,3887,30813,130535
