Years,Draw,Photo,Arch,Sculpt,Film,Medp,Fluxus
1932,14,1,2,1,0,0,0
1934,200,3,51,20,0,0,0
1935,549,27,74,39,0,0,0
1936,582,27,164,62,1,0,0
1937,616,84,362,96,1,0,0
1938,625,168,380,108,3,0,0
1939,785,219,519,155,7,0,0
1940,2090,344,592,172,10,0,0
1941,2360,995,602,217,10,0,0
1942,2919,1213,683,292,10,0,0
1943,3036,1341,1530,326,10,0,0
1944,3183,1454,1596,345,10,0,0
1945,3348,1454,1703,363,10,0,0
1946,3445,1486,1737,371,10,0,0
1947,3762,1522,1814,388,10,0,0
1948,4027,1523,1948,409,10,0,0
1949,5544,1523,1977,445,10,0,0
1950,5776,1615,2076,475,10,0,0
1951,6217,1615,2230,511,10,0,0
1952,6652,1631,2295,543,10,0,0
1953,6896,1682,2430,585,11,0,0
1954,7577,1725,2545,621,11,0,0
1955,7913,1729,2594,674,11,0,0
1956,8700,1794,2808,737,11,0,0
1957,8842,1820,2915,764,11,0,0
1958,9307,1820,3103,814,11,0,0
1959,9615,2268,3119,873,11,0,0
1960,9795,2372,3233,928,11,0,0
1961,10052,2532,3293,1006,11,0,0
1962,10395,2687,3327,1041,11,0,0
1963,11000,2814,3496,1093,11,0,0
1964,23101,3389,3587,1153,11,0,0
1965,24594,3741,3693,1223,11,0,0
1966,26075,3910,3838,1275,11,0,0
1967,27830,4247,4038,1374,11,0,0
1968,28999,9727,4243,1415,11,0,0
1969,30746,10031,4316,1487,12,0,0
1970,31475,10298,4486,1555,12,0,0
1971,31961,10803,4489,1602,13,0,0
1972,32459,11085,4560,1613,14,0,0
1973,33219,11346,4595,1642,14,0,0
1974,35172,11926,5407,1666,15,0,0
1975,35768,12224,5427,1706,15,26,0
1976,36169,12583,5528,1739,15,34,0
1977,36882,12880,5703,1763,16,34,0
1978,37895,13118,5763,1800,16,34,0
1979,38595,13381,5831,1896,17,66,0
1980,38898,13575,5967,1921,17,81,0
1981,39328,14275,6135,1947,18,104,0
1982,39735,14576,6231,1974,18,124,0
1983,40225,14990,6458,2022,19,138,0
1984,40613,15278,6561,2051,19,200,0
1985,41250,15448,6673,2163,19,214,0
1986,41802,15757,6744,2193,20,276,0
1987,42585,16052,6893,2217,20,293,0
1988,43301,16228,6968,2233,21,329,0
1989,43743,16619,6996,2247,28,339,0
1990,44539,16872,7154,2290,29,357,0
1991,45039,17065,7183,2377,29,369,0
1992,45783,17388,7248,2422,29,387,0
1993,46622,17646,7357,2438,29,424,0
1994,46967,17981,7477,2513,29,493,0
1995,47198,18554,7609,2539,29,499,0
1996,47692,18750,7814,2616,29,499,0
1997,48253,18930,7912,2656,30,570,0
1998,48735,19506,8044,2703,32,611,0
1999,49419,19670,8812,2738,38,764,0
2000,49813,20574,9245,2781,38,870,0
2001,52672,21582,9510,2809,38,880,0
2002,53115,21692,9549,2843,99,887,0
2003,53358,21818,9673,2857,102,926,0
2004,53792,21955,9780,2904,104,962,0
2005,57097,22295,9884,3055,202,1030,0
2006,58072,22631,10184,3088,203,1051,0
2007,59278,23052,10411,3129,222,1479,0
2008,63800,23319,10631,3175,240,1736,1867
2009,64663,23706,10824,3207,246,1791,1867
2010,65764,24367,10969,3342,265,1794,1867
2011,66721,24742,11282,3432,308,1972,1867
2012,68324,25094,12020,3478,457,2112,1867
2013,69729,26421,12185,3546,554,2190,1867
2014,70746,27231,13025,3588,589,2255,1867
2015,71884,28215,14415,3642,611,2495,1867
2016,72365,28818,14918,3761,687,2558,1867
2017,72722,29768,15019,3809,764,2651,1867
2018,73548,30190,15876,3851,874,2754,1867
2019,74143,30813,16059,3887,874,2892,1867
