,Title,Artist,Nationality,Years,Decades,Country
0,"Concert Hall Project, Dresden, Germany (Interior perspective of preliminary scheme)",Hans Poelzig,(German),1966,1960,Germany
1,"Palais de la Découverte Project, Paris, France (Elevation)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke",(American) (French) (American),1966,1960,America
2,"Palais de la Découverte Project, Paris, France (Longitudinal section)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke",(American) (French) (American),1966,1960,America
3,"Palais de la Découverte Project, Paris, France (Aerial perspective)","Paul Nelson, Oscar Nitzchke, Frantz Jourdain",(American) (American) (French),1966,1960,America
4,"Palais de la Découverte Project, Paris, France (Plan of upper level and exhibits)","Paul Nelson, Frantz Jourdain, Oscar Nitzchke",(American) (French) (American),1966,1960,America
5,Helium Bridge Project,Paolo Soleri,(American),1966,1960,America
6,"Transplantation I, Perspective and plan",Raimund Abraham,(American),1965,1960,America
7,"Linear City Project, Perspective",Raimund Abraham,(American),1965,1960,America
8,"Floating Compression Column,",Kenneth Snelson,(American),1965,1960,America
9,"City Tower project, Philadelphia, PA (Perspective sketch)","Louis I. Kahn, Ann Tyng",(American) (American),1967,1960,America
10,"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Elevation study)",Ludwig Mies van der Rohe,(American),1966,1960,America
11,"Civic Center Studies, project, Philadelphia, Pennsylvania, Aerial perspective sketch",Louis I. Kahn,(American),1967,1960,America
12,"Civic Center Studies, project, Philadelphia, Pennsylvania, Aerial perspective sketches",Louis I. Kahn,(American),1967,1960,America
13,"Endless Theatre Project, Plan",Frederick Kiesler,(American),1966,1960,America
14,"Market Street East Studies, project, Philadelphia, Pennsylvania, Perspective",Louis I. Kahn,(American),1967,1960,America
15,"Endless Theatre Project, Plan",Frederick Kiesler,(American),1966,1960,America
16,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Plans and elevations of service towers, preliminary version",Louis I. Kahn,(American),1967,1960,America
17,"Endless Theater Project, Section",Frederick Kiesler,(American),1966,1960,America
18,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Phidadelphia, Pennsylvania, Plan",Louis I. Kahn,(American),1967,1960,America
19,"Place de la Concorde Project, Paris, France, Elevation",Frederick Kiesler,(American),1966,1960,America
20,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennslylvania, Philadelphia, Pennsylvania, Preliminary version: perspective",Louis I. Kahn,(American),1967,1960,America
21,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Elevation",Louis I. Kahn,(American),1967,1960,America
22,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Perspective",Louis I. Kahn,(American),1967,1960,America
23,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Perspective",Louis I. Kahn,(American),1967,1960,America
24,"Alfred Newton Richards Medical Research Building and Biology Building, University of Pennsylvania, Philadelphia, Pennsylvania, Exterior perspective, final version",Louis I. Kahn,(American),1967,1960,America
25,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Plan sketch",Louis I. Kahn,(American),1967,1960,America
26,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",Louis I. Kahn,(American),1967,1960,America
27,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Entrance elevation sketch",Louis I. Kahn,(American),1967,1960,America
28,"Project for a Painted Wall, New York City, New York (Perspective)",Jason Crum,(American),1969,1960,America
29,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",Louis I. Kahn,(American),1967,1960,America
30,"Project for a Painted Wall, New York City, New York (Perspective)",Jason Crum,(American),1969,1960,America
31,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",Louis I. Kahn,(American),1967,1960,America
32,"Project for a Painted Wall, Fox Department Store, Hartford, Connecticut (Perspective)",Jason Crum,(American),1969,1960,America
33,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",Louis I. Kahn,(American),1967,1960,America
34,Airplane Hangar Project (Roof plan),Konrad Wachsmann,(American),1969,1960,America
35,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",Louis I. Kahn,(American),1967,1960,America
36,"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Entrance elevation sketch",Louis I. Kahn,(American),1967,1960,America
37,"First Unitarian Church and School, Rochester, New York, Plan and elevation sketches",Louis I. Kahn,(American),1967,1960,America
38,"First Unitarian Church and School, Rochester, New York, Roof-structure and light-element sketches",Louis I. Kahn,(American),1967,1960,America
39,"First Unitarian Church and School, Rochester, New York, Roof-structure and light-element sketches",Louis I. Kahn,(American),1967,1960,America
40,"Salk Institute for Biological Studies, La Jolla, California (Perspective of meeting house)",Louis I. Kahn,(American),1967,1960,America
41,"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California (Laboratory: elevation of studies)",Louis I. Kahn,(American),1967,1960,America
42,"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California (Laboratory: elevation of studies)",Louis I. Kahn,(American),1967,1960,America
43,"Salk Institute for Biological Studies (Laboratory, Meeting House, and Housing), La Jolla, California (Laboratory: perspective)",Louis I. Kahn,(American),1967,1960,America
44,"Eleanor Donnelley Erdman Hall, Bryn Mawr College, Bryn Mawr, Pennsylvania, Plan and elevation sketches",Louis I. Kahn,(American),1967,1960,America
45,"Eleanor Donnelley Erdman Hall, Bryn Mawr College, Bryn Mawr, Pennsylvania, Plan sketches",Louis I. Kahn,(American),1967,1960,America
46,"Eleanor Donnelley Erdman Hall, Bryn Mawr College, Bryn Mawr, Pennsylvania, Plan sketch",Louis I. Kahn,(American),1967,1960,America
47,"Traffic Studies, project, Philadelphia, Pennsylvania, Plan of existing movement pattern (MISSING DRAWING)",Louis I. Kahn,(American),1964,1960,America
48,"Fine Arts Center, School, and Performing Arts Theater, Fort Wayne, Indiana, Site-plan sketch",Louis I. Kahn,(American),1967,1960,America
49,"Traffic Study project , Philadelphia, PA (Plan of proposed traffic-movement pattern)",Louis I. Kahn,(American),1964,1960,America
50,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Plan sketches",Louis I. Kahn,(American),1967,1960,America
51,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Prayer Hall: plan and elevation sketches)",Louis I. Kahn,(American),1964,1960,America
52,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Perspective drawing",Louis I. Kahn,(American),1967,1960,America
53,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Site plan and elevation sketches)",Louis I. Kahn,(American),1964,1960,America
54,"Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Interior perspective sketch",Louis I. Kahn,(American),1967,1960,America
55,"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh (Site-plan and elevation sketches)",Louis I. Kahn,(American),1964,1960,America
