Years,Title,Draw,Film,Fluxus,Medp,Sculpt,Photo,Total
1932,2,14,0.0,0.0,0.0,1,1.0,18
1934,49,186,0.0,0.0,0.0,19,2.0,256
1935,23,349,0.0,0.0,0.0,19,24.0,415
1936,90,33,1.0,0.0,0.0,23,0.0,147
1937,198,34,0.0,0.0,0.0,34,57.0,323
1938,18,9,2.0,0.0,0.0,12,84.0,125
1939,139,160,4.0,0.0,0.0,47,51.0,401
1940,73,1305,3.0,0.0,0.0,17,125.0,1523
1941,10,270,0.0,0.0,0.0,45,651.0,976
1942,81,559,0.0,0.0,0.0,75,218.0,933
1943,847,117,0.0,0.0,0.0,34,128.0,1126
1944,66,147,0.0,0.0,0.0,19,113.0,345
1945,107,165,0.0,0.0,0.0,18,0.0,290
1946,34,97,0.0,0.0,0.0,8,32.0,171
1947,77,317,0.0,0.0,0.0,17,36.0,447
1948,134,265,0.0,0.0,0.0,21,1.0,421
1949,29,1517,0.0,0.0,0.0,36,0.0,1582
1950,99,232,0.0,0.0,0.0,30,92.0,453
1951,154,441,0.0,0.0,0.0,36,0.0,631
1952,65,435,0.0,0.0,0.0,32,16.0,548
1953,135,244,1.0,0.0,0.0,42,51.0,473
1954,115,681,0.0,0.0,0.0,36,43.0,875
1955,49,336,0.0,0.0,0.0,53,4.0,442
1956,214,787,0.0,0.0,0.0,63,65.0,1129
1957,107,142,0.0,0.0,0.0,27,26.0,302
1958,188,465,0.0,0.0,0.0,50,0.0,703
1959,16,308,0.0,0.0,0.0,59,448.0,831
1960,114,180,0.0,0.0,0.0,55,104.0,453
1961,60,257,0.0,0.0,0.0,78,160.0,555
1962,34,343,0.0,0.0,0.0,35,155.0,567
1963,169,605,0.0,0.0,0.0,52,127.0,953
1964,91,12101,0.0,0.0,0.0,60,575.0,12827
1965,106,1493,0.0,0.0,0.0,70,352.0,2021
1966,145,1481,0.0,0.0,0.0,52,169.0,1847
1967,200,1755,0.0,0.0,0.0,99,337.0,2391
1968,205,1169,0.0,0.0,0.0,41,5480.0,6895
1969,73,1747,1.0,0.0,0.0,72,304.0,2197
1970,170,729,0.0,0.0,0.0,68,267.0,1234
1971,3,486,1.0,0.0,0.0,47,505.0,1042
1972,71,498,1.0,0.0,0.0,11,282.0,863
1973,35,760,0.0,0.0,0.0,29,261.0,1085
1974,812,1953,1.0,0.0,0.0,24,580.0,3370
1975,20,596,0.0,0.0,26.0,40,298.0,980
1976,101,401,0.0,0.0,8.0,33,359.0,902
1977,175,713,1.0,0.0,0.0,24,297.0,1210
1978,60,1013,0.0,0.0,0.0,37,238.0,1348
1979,68,700,1.0,0.0,32.0,96,263.0,1160
1980,136,303,0.0,0.0,15.0,25,194.0,673
1981,168,430,1.0,0.0,23.0,26,700.0,1348
1982,96,407,0.0,0.0,20.0,27,301.0,851
1983,227,490,1.0,0.0,14.0,48,414.0,1194
1984,103,388,0.0,0.0,62.0,29,288.0,870
1985,112,637,0.0,0.0,14.0,112,170.0,1045
1986,71,552,1.0,0.0,62.0,30,309.0,1025
1987,149,783,0.0,0.0,17.0,24,295.0,1268
1988,75,716,1.0,0.0,36.0,16,176.0,1020
1989,28,442,7.0,0.0,10.0,14,391.0,892
1990,158,796,1.0,0.0,18.0,43,253.0,1269
1991,29,500,0.0,0.0,12.0,87,193.0,821
1992,65,744,0.0,0.0,18.0,45,323.0,1195
1993,109,839,0.0,0.0,37.0,16,258.0,1259
1994,120,345,0.0,0.0,69.0,75,335.0,944
1995,132,231,0.0,0.0,6.0,26,573.0,968
1996,205,494,0.0,0.0,0.0,77,196.0,972
1997,98,561,1.0,0.0,71.0,40,180.0,951
1998,132,482,2.0,0.0,41.0,47,576.0,1280
1999,768,684,6.0,0.0,153.0,35,164.0,1810
2000,433,394,0.0,0.0,106.0,43,904.0,1880
2001,265,2859,0.0,0.0,10.0,28,1008.0,4170
2002,39,443,61.0,0.0,7.0,34,110.0,694
2003,124,243,3.0,0.0,39.0,14,126.0,549
2004,107,434,2.0,0.0,36.0,47,137.0,763
2005,104,3305,98.0,0.0,68.0,151,340.0,4066
2006,300,975,1.0,0.0,21.0,33,336.0,1666
2007,227,1206,19.0,0.0,428.0,41,421.0,2342
2008,220,4522,18.0,1867.0,257.0,46,267.0,7197
2009,193,863,6.0,0.0,55.0,32,387.0,1536
2010,145,1101,19.0,0.0,3.0,135,661.0,2064
2011,313,957,43.0,0.0,178.0,90,375.0,1956
2012,738,1603,149.0,0.0,140.0,46,352.0,3028
2013,165,1405,97.0,0.0,78.0,68,1327.0,3140
2014,840,1017,35.0,0.0,65.0,42,810.0,2809
2015,1390,1138,22.0,0.0,240.0,54,984.0,3828
2016,503,481,76.0,0.0,63.0,119,603.0,1845
2017,101,357,77.0,0.0,93.0,48,950.0,1626
2018,857,826,110.0,0.0,103.0,42,422.0,2360
2019,183,595,0.0,0.0,138.0,36,623.0,1575
